id,familia,acierto,estado,coste_usd,latencia_s,llamadas,cita,cifra,trayectoria,recall_trayectoria,coste_juez_usd,error
propio-001,numerica,False,error,,3.768669600132853,0.0,,,,,,"PaymentRequiredResponseError: This request would exceed your available credits given your current in-flight requests. Retry after in-flight requests settle, or add credits."
propio-002,numerica,False,no_intentado,,,,,,,,,
propio-003,numerica,False,no_intentado,,,,,,,,,
propio-004,numerica,False,no_intentado,,,,,,,,,
propio-005,numerica,False,no_intentado,,,,,,,,,
propio-006,numerica,False,no_intentado,,,,,,,,,
propio-007,numerica,False,no_intentado,,,,,,,,,
propio-008,extractiva,False,no_intentado,,,,,,,,,
propio-009,extractiva,False,no_intentado,,,,,,,,,
propio-010,extractiva,False,no_intentado,,,,,,,,,
propio-011,extractiva,False,no_intentado,,,,,,,,,
propio-012,extractiva,False,no_intentado,,,,,,,,,
propio-013,extractiva,False,no_intentado,,,,,,,,,
propio-014,extractiva,False,no_intentado,,,,,,,,,
propio-015,comparativa,False,no_intentado,,,,,,,,,
propio-016,comparativa,False,no_intentado,,,,,,,,,
propio-017,comparativa,False,no_intentado,,,,,,,,,
propio-018,comparativa,False,no_intentado,,,,,,,,,
propio-019,comparativa,False,no_intentado,,,,,,,,,
propio-020,comparativa,False,no_intentado,,,,,,,,,
