id,familia,acierto,estado,coste_usd,latencia_s,llamadas,cita,cifra,trayectoria,cita_ancla,recall_trayectoria,coste_juez_usd,coste_estimado_usd,avisos_guardrail
propio-001,numerica,True,evaluado,0.0026857499999999998,10.953719299985096,1,,True,True,,,,0.0026857499999999998,0
propio-002,numerica,True,evaluado,0.0039345,15.334454499999993,2,,True,True,,,,0.0039345,0
propio-003,numerica,True,evaluado,0.0077325,35.07296199997654,2,False,True,True,,,,0.0077325,0
propio-004,numerica,True,evaluado,0.0046012499999999994,12.033448199974373,2,,True,True,,,,0.0046012499999999994,0
propio-005,numerica,True,evaluado,0.004670250000000001,10.933331899985205,2,,True,True,,,,0.004670250000000001,0
propio-006,numerica,True,evaluado,0.002934,5.326894499943592,1,,True,True,,,,0.002934,0
propio-007,numerica,False,evaluado,0.00469275,13.733073799987324,2,,False,True,,,,0.00469275,0
propio-008,extractiva,True,evaluado,0.030942525,31.250328599999193,7,True,,True,False,0.0,0.0002471,0.030942525,0
propio-009,extractiva,True,evaluado,0.022256175,28.460982599994168,4,True,,True,False,0.0,0.0003315,0.022256175,0
propio-010,extractiva,False,evaluado,0.0201585,25.815071199962404,4,False,,True,False,0.0,,0.0201585,0
propio-011,extractiva,False,evaluado,0.0165465,23.69968040002277,3,False,,True,False,1.0,,0.0165465,0
propio-012,extractiva,True,evaluado,0.0112305,20.326507700025104,2,True,,True,True,1.0,0.0002976,0.0112305,0
propio-013,extractiva,True,evaluado,0.0082605,16.560494300036225,2,True,,True,True,1.0,0.0002744,0.0082605,0
propio-014,extractiva,True,evaluado,0.00482925,13.995468600012828,1,True,,True,True,1.0,0.0002104,0.00482925,0
propio-015,comparativa,False,evaluado,0.019296,45.86889619997237,7,False,True,True,False,1.0,,0.019296,0
propio-016,comparativa,False,evaluado,0.02500275,39.085588600020856,6,False,True,True,False,1.0,,0.02500275,0
propio-017,comparativa,False,evaluado,0.0206865,34.374076700012665,6,False,True,True,False,1.0,,0.0206865,0
propio-018,comparativa,False,evaluado,0.0339297,42.43060570000671,9,False,True,True,False,1.0,,0.0339297,0
propio-019,comparativa,False,evaluado,0.027272550000000003,33.58915340004023,7,False,True,True,False,1.0,,0.027272550000000003,0
propio-020,comparativa,False,evaluado,0.018456,26.399723600014113,5,False,True,True,False,1.0,,0.018456,0
