id,familia,acierto,estado,coste_usd,latencia_s,llamadas,cita,cifra,trayectoria,cita_ancla,recall_trayectoria,coste_juez_usd,coste_estimado_usd,avisos_guardrail
propio-001,numerica,True,evaluado,0.0038445,16.10198080004193,1,,True,True,,,,0.0038445,0
propio-002,numerica,True,evaluado,0.0104595,23.611876899958588,2,,True,True,,,,0.0104595,1
propio-003,numerica,True,evaluado,0.00410775,14.980728499998804,1,,True,True,,,,0.00410775,0
propio-004,numerica,True,evaluado,0.010232999999999999,21.88818770000944,2,,True,True,,,,0.010232999999999999,1
propio-005,numerica,True,evaluado,0.0058185,13.212696200003847,2,,True,True,,,,0.0058185,0
propio-006,numerica,True,evaluado,0.00783975,19.15442360000452,1,,True,True,,,,0.00783975,1
propio-007,numerica,True,evaluado,0.0051105000000000005,11.615133799961768,2,,True,True,,,,0.0051105000000000005,0
propio-008,extractiva,True,evaluado,0.006866,41.55357849999564,1,True,,True,True,1.0,0.0002015,0.006866,0
propio-009,extractiva,True,evaluado,0.019397949999999997,33.001446300011594,2,True,,True,True,1.0,0.0003592,0.019397949999999997,0
propio-010,extractiva,True,evaluado,0.019036,53.71696539997356,3,True,,True,False,0.0,0.0002621,0.019036,0
propio-011,extractiva,True,evaluado,0.0109463,19.565685399982613,1,True,,True,True,1.0,0.000304,0.0109463,0
propio-012,extractiva,True,evaluado,0.013850249999999998,27.350272200012114,2,True,,True,True,1.0,0.0003059,0.013850249999999998,0
propio-013,extractiva,True,evaluado,0.00777425,16.061254300002474,1,True,,True,True,1.0,0.0002549,0.00777425,0
propio-014,extractiva,True,evaluado,0.00566915,14.10862310003722,1,True,,True,True,1.0,0.0002311,0.00566915,0
propio-015,comparativa,False,evaluado,0.022717750000000002,40.04246579995379,7,False,True,True,False,0.5,0.000334,0.022717750000000002,0
propio-016,comparativa,True,evaluado,0.01776725,33.37335800001165,5,True,True,True,True,1.0,0.000341,0.01776725,0
propio-017,comparativa,True,evaluado,0.021727399999999997,37.6113729000208,5,True,True,True,True,1.0,0.0002983,0.021727399999999997,0
propio-018,comparativa,True,evaluado,0.042814725,75.14147539995611,9,True,True,True,True,1.0,0.0002853,0.042814725,0
propio-019,comparativa,True,evaluado,0.033596375,68.87388760002796,7,True,True,True,True,1.0,0.0002937,0.033596375,0
propio-020,comparativa,True,evaluado,0.01744085,30.082348999974784,5,True,True,True,True,1.0,0.0002886,0.01744085,0
